ts,mid,spread_bps,trend_bps_per_sec,trend_angle_deg,bid_pressure_total_usd,ask_pressure_total_usd,pressure_imbalance,strongest_bid_usd,strongest_bid_dist_usd,strongest_ask_usd,strongest_ask_dist_usd,bid_p_0_10,bid_p_10_25,bid_p_25_50,bid_p_50_100,bid_p_100_200,ask_p_0_10,ask_p_10_25,ask_p_25_50,ask_p_50_100,ask_p_100_200,burst_count_3s,burst_buy_usd_3s,burst_sell_usd_3s,burst_imbalance_3s,target_ok_long,target_ok_short,pressure_ok_long,pressure_ok_short,in_long_hint,in_short_hint
1771599600013,67034.50,0.1492,,,3523436.75,1638831.48,0.365073,653037.85,0.50,389395.96,25.50,2477482.68,1045954.07,0.00,0.00,0.00,3281.41,792862.83,842687.24,0.00,0.00,1,11.40,0.00,1.000000,1,0,1,0,1,0
1771599600585,67050.50,0.1491,,,9660121.32,446993.04,0.911549,3328025.72,13.50,122844.04,8.50,1224975.50,8435145.82,0.00,0.00,0.00,140473.40,159111.76,147407.88,0.00,0.00,20,11053.68,20.11,0.996367,0,0,1,0,0,0
1771599601094,67063.00,1.7894,3.937024,75.7483,6470219.85,1497466.11,0.624115,2539194.23,13.00,409375.67,25.00,1211433.98,4263677.26,995108.60,0.00,0.00,4589.53,432264.27,1060612.31,0.00,0.00,27,26134.34,20.11,0.998462,1,0,1,0,1,0
1771599601601,67077.50,0.1491,4.002667,75.9727,6557563.88,2127490.90,0.510080,800992.42,14.50,437637.87,17.50,2111650.47,4445913.40,0.00,0.00,0.00,595995.34,1531495.56,0.00,0.00,0.00,27,26134.34,20.11,0.998462,0,0,1,0,0,0
1771599602203,67077.50,0.1491,3.103980,72.1428,1135889.89,3986208.58,-0.556475,354424.14,0.50,720251.41,14.50,361432.85,650175.26,124281.79,0.00,0.00,1553810.76,2432397.82,0.00,0.00,0.00,29,26134.34,52.31,0.996005,0,0,0,1,0,0
1771599602727,67068.00,0.2982,2.058162,64.0863,112941.79,9831144.67,-0.977285,75031.19,13.00,3279075.24,9.00,113.34,112828.45,0.00,0.00,0.00,4617080.79,5214063.88,0.00,0.00,0.00,34,26134.34,476.87,0.964161,0,0,0,1,0,0
1771599603298,67066.00,0.2982,1.392724,54.3210,157005.41,7364499.31,-0.958252,75811.34,22.00,1555504.77,2.00,6949.80,150055.61,0.00,0.00,0.00,3279858.85,4084640.46,0.00,0.00,0.00,30,23257.19,499.67,0.957935,0,1,0,1,0,0
1771599603904,67065.50,0.1491,0.976932,44.3315,166888.73,7493791.96,-0.956430,120817.98,21.50,1789231.01,0.50,657.86,166230.88,0.00,0.00,0.00,3761917.92,3731874.04,0.00,0.00,0.00,17,15631.27,479.55,0.940468,0,1,0,1,0,0
1771599604419,67065.50,0.1491,0.730780,36.1586,3241214.31,1575203.56,0.345902,845476.78,8.50,346889.20,29.50,2066949.15,1174265.16,0.00,0.00,0.00,40208.20,844830.53,690164.83,0.00,0.00,12,550.61,2942.18,-0.684715,1,0,1,0,1,0
1771599605014,67068.50,0.1491,0.606358,31.2309,7251505.81,2744061.45,0.450944,2788921.50,2.50,690525.15,18.50,6386533.29,864972.52,0.00,0.00,0.00,34230.69,2709830.76,0.00,0.00,0.00,14,604.26,2939.49,-0.658970,0,0,1,0,0,0
1771599605520,67068.50,0.1491,0.515109,27.2534,647246.12,3304932.58,-0.672461,225857.89,20.50,856189.44,0.50,194796.71,452449.40,0.00,0.00,0.00,1329166.77,1975765.81,0.00,0.00,0.00,13,604.26,2927.42,-0.657804,0,1,0,1,0,0
1771599606139,67065.50,0.1491,0.407997,22.1953,468618.33,9469733.46,-0.905695,219717.56,16.50,1865227.83,1.50,113725.46,354892.87,0.00,0.00,0.00,6310883.72,3158849.74,0.00,0.00,0.00,9,604.26,2513.60,-0.612385,0,0,0,1,0,0
1771599607178,67065.50,0.1491,0.312920,17.3759,138037.70,6810243.68,-0.960267,53827.61,16.50,2250902.63,0.50,784.60,137253.10,0.00,0.00,0.00,3585525.88,3224717.80,0.00,0.00,0.00,5,73.77,28.17,0.447359,0,0,0,1,0,0
